strategy,cycle_days,n_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,information_ratio_vs_btc,turnover_mean,realized_risk_annualized_mean
btc_hodl,,395,-0.1848013816925641,-0.17205226791422923,0.4124484818482557,-0.25166722648960665,-0.47705891273456125,-0.3606520354645596,,,
minimum_variance,7.0,395,-0.4652327265723486,-0.43919673775276014,0.42174164003082276,-1.1566418358660273,-0.5661153166983381,-0.7758079048526995,-1.6494680612969213,0.29605324891465257,0.35136001339078143
equal_weight,7.0,395,-0.5767287953294882,-0.5481681974741179,0.6435283199150734,-0.9077154155023421,-0.6549004163322121,-0.8370252694969246,-1.1286982320762593,0.05644856706132999,0.5506947632205148
minimum_variance,14.0,395,-0.48201850449626826,-0.455482430367534,0.43369246780337617,-1.181317054283098,-0.5715601565878091,-0.7969107452953781,-1.717098009569113,0.3679002082336679,0.35873253680336675
equal_weight,14.0,395,-0.5869429018358951,-0.5582527238039204,0.6443608081437635,-0.9407534034915531,-0.6558344778675651,-0.8512097833268386,-1.1769298872307958,0.08043815901657078,0.5510683355244608
