target_date,origin_date,adjusted_mspe,raw_mspe,mspe_delta_raw_minus_adjusted,adjusted_qlike,raw_qlike,qlike_delta_raw_minus_adjusted
2025-03-01,2025-02-28,0.007736326675969828,0.008891938396265155,0.0011556117202953268,-269.95374393194777,-270.5865033355022,-0.6327594035544166
2025-03-02,2025-03-01,0.00873229086361678,0.009087143612505809,0.00035485274888902817,-177.36830146033853,-173.1415125021588,4.226788958179725
2025-03-03,2025-03-02,0.006736205479032438,0.005297960227241091,-0.0014382452517913468,-245.91379206785754,-248.42192516104103,-2.5081330931834884
2025-03-04,2025-03-03,0.029391194399314233,0.025809520891047242,-0.0035816735082669915,-251.3424971949773,-249.88932149566983,1.4531756993074794
2025-03-05,2025-03-04,0.004340224628365778,0.006039114359025106,0.0016988897306593276,-285.21668079608605,-281.77000169652126,3.44667909956479
2025-03-06,2025-03-05,0.00398646808308301,0.005547894942782959,0.0015614268596999487,-278.2885994160636,-274.4927401070734,3.7958593089902024
2025-03-07,2025-03-06,0.0024942212313709467,0.0021688387012761988,-0.000325382530094748,-275.2680908183535,-272.3030532095498,2.9650376088037547
2025-03-08,2025-03-07,0.005847245126029958,0.007706764591286545,0.0018595194652565872,-294.7882906952554,-291.82663085339533,2.961659841860069
2025-03-09,2025-03-08,0.0029658599263503475,0.00415837902795747,0.0011925191016071224,-289.42117163141864,-286.22615432363403,3.1950173077846102
2025-03-10,2025-03-09,0.017763341455197278,0.015718289000865374,-0.002045052454331904,-263.5184258798946,-260.9718098343162,2.5466160455783893
2025-03-11,2025-03-10,0.019625935613171674,0.01751223511364001,-0.002113700499531662,-263.8392738006951,-261.5767451355902,2.262528665104867
2025-03-12,2025-03-11,0.0022132309759601795,0.002840653820450647,0.0006274228444904674,-278.0268399159621,-280.04328149157345,-2.0164415756113385
2025-03-13,2025-03-12,0.00552598527921422,0.006894019418474019,0.0013680341392597987,-284.08482686539566,-282.7556862993117,1.329140566083936
2025-03-14,2025-03-13,0.008928593769937064,0.010686723138256544,0.0017581293683194797,-293.4034228163596,-289.54195651638474,3.861466299974836
2025-03-15,2025-03-14,0.010162701334417493,0.011924186910560346,0.0017614855761428523,-297.0900228515364,-293.42610155615125,3.663921295385137
2025-03-16,2025-03-15,0.004827153463479556,0.00595518901066251,0.0011280355471829547,-293.76694043606494,-290.2747840894767,3.4921563465882173
2025-03-17,2025-03-16,0.006639950301734159,0.007784877597198984,0.001144927295464825,-278.9173627442883,-279.2381745980552,-0.3208118537668838
2025-03-18,2025-03-17,0.0073721155478081385,0.008440884632651992,0.001068769084843854,-232.19882853147539,-232.09384896611382,0.10497956536156039
2025-03-19,2025-03-18,0.00299455776925196,0.003774586823027847,0.0007800290537758872,-280.8228650660168,-279.13986987433736,1.6829951916794244
2025-03-20,2025-03-19,0.004469896160237038,0.0053927098744873,0.000922813714250262,-300.96131538608273,-297.5850401048245,3.376275281258245
2025-03-21,2025-03-20,0.00498964409484343,0.005805171709947255,0.0008155276151038254,-295.27983345960143,-292.35363872386733,2.9261947357341
2025-03-22,2025-03-21,0.01421221156008889,0.01480783600964396,0.0005956244495550697,-289.5075462426205,-287.68820918515297,1.8193370574675214
2025-03-23,2025-03-22,0.007097200681351865,0.007737313777284282,0.0006401130959324168,-287.43579522734075,-285.58712813074294,1.8486670965978078
2025-03-24,2025-03-23,0.0029957260129361675,0.0035591426149122205,0.000563416601976053,-288.4321674480734,-286.09898062215177,2.3331868259216435
2025-03-25,2025-03-24,0.003773689418992911,0.004324315070650716,0.0005506256516578049,-276.71178544132863,-275.00490241643297,1.7068830248956601
2025-03-26,2025-03-25,0.0021830179609157703,0.0025770421342647147,0.00039402417334894434,-256.3732932899806,-253.27174646144,3.10154682854062
2025-03-27,2025-03-26,0.004926950714774113,0.00517084422347418,0.00024389350870006668,-264.185213916663,-267.7477617302719,-3.562547813608944
2025-03-28,2025-03-27,0.0013286498924963528,0.0014076648966317839,7.901500413543113e-05,-292.7117683898558,-291.92148889624764,0.7902794936081818
2025-03-29,2025-03-28,0.0005823772771792712,0.0009005521164449637,0.0003181748392656925,-300.4000825226123,-297.13888877177556,3.2611937508367532
2025-03-30,2025-03-29,0.0005160373700404487,0.0007450855356160986,0.0002290481655756499,-306.2649128018156,-303.03252405998717,3.2323887418284585
2025-03-31,2025-03-30,0.001171291950004537,0.0011078777803678944,-6.341416963664254e-05,-287.32331552678215,-286.6550607422205,0.6682547845616682
2025-04-01,2025-03-31,0.0024483850021999876,0.0026232286677446946,0.00017484366554470707,-194.96211101525543,-227.75783724475747,-32.79572622950204
2025-04-02,2025-04-01,0.006853448232706753,0.006402528597236392,-0.0004509196354703614,-261.1802569979268,-261.64117771172687,-0.4609207138000784
2025-04-03,2025-04-02,0.001502480191212669,0.0015593000748776956,5.681988366502662e-05,-267.70032982068983,-268.26813661926235,-0.5678067985725193
2025-04-04,2025-04-03,0.000905313290268448,0.000916453823015743,1.1140532747295042e-05,-290.64561876290867,-289.53267711572744,1.1129416471812306
2025-04-05,2025-04-04,0.003577321882705206,0.004091829481928438,0.0005145075992232322,-299.53146617572867,-297.6923459735045,1.8391202022241941
2025-04-06,2025-04-05,0.006361460785823971,0.006248235628305439,-0.00011322515751853186,-218.63385960577756,-236.69172311405902,-18.057863508281457
2025-04-07,2025-04-06,0.12708943792467256,0.12464175225355617,-0.0024476856711163897,-180.99021883860695,-198.1551575415748,-17.164938702967845
2025-04-08,2025-04-07,0.013308671133615606,0.01278972955155568,-0.0005189415820599265,-229.11935851195642,-237.11875678694628,-7.999398274989858
2025-04-09,2025-04-08,0.023191342706892028,0.022631861632938774,-0.0005594810739532538,-112.35974057451406,-143.05195063133633,-30.692210056822262
2025-04-10,2025-04-09,0.00818801147274269,0.008115854149593735,-7.215732314895529e-05,-226.12149802500664,-232.22247670969927,-6.10097868469262
2025-04-11,2025-04-10,0.006606200299077743,0.0071629926594194235,0.0005567923603416805,-244.15911589975752,-244.76886429851032,-0.6097483987527994
2025-04-12,2025-04-11,0.005251439322972446,0.005945466356873695,0.0006940270339012488,-251.31731444137512,-252.2912861415007,-0.9739717001255883
2025-04-13,2025-04-12,0.001560177565582787,0.0019483609744567216,0.00038818340887393455,-279.1946835142773,-277.17265164263097,2.022031871646334
2025-04-14,2025-04-13,0.0023870637064311914,0.0026734608636758365,0.0002863971572446451,-257.14845971603404,-256.4874625309985,0.6609971850355123
2025-04-15,2025-04-14,0.011137971217617417,0.011297829662086423,0.00015985844446900557,-249.24325838765395,-251.90960425753772,-2.66634586988377
2025-04-16,2025-04-15,0.11213505777760598,0.1084638852307548,-0.0036711725468511758,-205.30398390548112,-217.11803883257338,-11.814054927092258
2025-04-17,2025-04-16,0.009932445030205236,0.009485900890887612,-0.0004465441393176235,-267.1133503129353,-267.8268352093597,-0.7134848964243474
2025-04-18,2025-04-17,0.004711254598978472,0.005568050931627159,0.0008567963326486872,-280.8713995576774,-278.7310525878606,2.1403469698168465
2025-04-19,2025-04-18,0.0051346315346141175,0.006214067227344517,0.0010794356927303992,-291.2701941265548,-288.2560634230365,3.014130703518333
2025-04-20,2025-04-19,0.0030463315004824886,0.003931650030490132,0.0008853185300076436,-288.8562263239458,-285.9010008733143,2.9552254506315307
2025-04-21,2025-04-20,0.0035165011486031554,0.0047287890976583525,0.001212287949055197,-290.5710498550353,-286.63380502483284,3.9372448302024736
2025-04-22,2025-04-21,0.0019304085013994074,0.0028910409979288902,0.0009606324965294828,-277.81734676431626,-274.1458153053042,3.6715314590120443
2025-04-23,2025-04-22,0.002206287175778681,0.0029015724177898117,0.0006952852420111307,-265.3880350675371,-263.7739684148224,1.6140666527147118
2025-04-24,2025-04-23,0.004977321584523393,0.005003134001607125,2.5812417083732192e-05,-273.211738189435,-270.9125986110785,2.29913957835646
2025-04-25,2025-04-24,0.002622914064832356,0.003265652147836174,0.0006427380830038177,-271.3163951812138,-268.63863501072615,2.677760170487659
2025-04-26,2025-04-25,0.002332462212899418,0.0031917563042614815,0.0008592940913620633,-278.4976201430119,-276.29541278191215,2.202207361099738
2025-04-27,2025-04-26,0.002069201503929362,0.0029159566830345915,0.0008467551791052296,-287.1813009935122,-283.2721688574268,3.909132136085418
2025-04-28,2025-04-27,0.0015875093481072925,0.002090371755416553,0.0005028624073092603,-272.4240059188504,-269.781997227289,2.6420086915613865
2025-04-29,2025-04-28,0.004640340013643478,0.0052656781852747706,0.000625338171631293,-244.1811991180781,-248.13645591320133,-3.9552567951232334
2025-04-30,2025-04-29,0.004376538713343153,0.004826665277316863,0.0004501265639737101,-251.24973395304582,-253.1038535160045,-1.8541195629586866
2025-05-01,2025-04-30,0.002607670620973981,0.0032347020821555965,0.0006270314611816156,-283.4809939139097,-280.55499633722604,2.925997576683642
2025-05-02,2025-05-01,0.002324629342345765,0.0028189292358532115,0.0004942998935074465,-286.8550026118817,-284.1068058390427,2.7481967728389805
2025-05-03,2025-05-02,0.0017468225492607886,0.0020017905197937816,0.000254967970532993,-290.77995987093095,-288.08285515074095,2.697104720189998
2025-05-04,2025-05-03,0.0014012550976564642,0.0017236024657455028,0.0003223473680890386,-291.20249477082814,-289.2189915293768,1.9835032414513307
2025-05-05,2025-05-04,0.0012253364037764945,0.0015578613149849142,0.00033252491120841976,-292.22409988297795,-289.82986207573816,2.39423780723979
2025-05-06,2025-05-05,0.003230557415529439,0.0033356074840411904,0.00010505006851175116,-280.5122929824639,-282.59342299745913,-2.0811300149952103
2025-05-07,2025-05-06,0.0014883554847797665,0.001781481186452234,0.0002931257016724675,-294.01936181012655,-291.66816082207913,2.351200988047424
2025-05-08,2025-05-07,0.0017982542851587972,0.0020121299789070467,0.00021387569374824947,-267.3651485565105,-266.80828971167955,0.5568588448309697
2025-05-09,2025-05-08,0.001813668251330055,0.002020710316829504,0.0002070420654994489,-233.053065628233,-231.20480801955273,1.848257608680285
2025-05-10,2025-05-09,0.0015749942355141322,0.001781205757980956,0.0002062115224668237,-265.5675500678762,-264.2992758913458,1.268274176530383
2025-05-11,2025-05-10,0.001506909717679733,0.0016437217288124456,0.00013681201113271264,-281.8648960374923,-280.24160653953686,1.6232894979554544
2025-05-12,2025-05-11,0.005593132099739962,0.005557122664683679,-3.600943505628271e-05,-249.97833813493747,-249.39135003574907,0.5869880991884031
