cycle_days,rebalance_date,XRP,BTC,ETH,SOL,DOGE,AERGO,ADA,AUCTION,ONDO,SUI,VIRTUAL,ARDR,MOVE,AWE,XLM,AXS,SNT,QTUM,ANIME,PUNDIX,ARK,ENS,LINK,CRO,HBAR,VANA,SEI,STRAX,KNC,ME,SHIB,CBK,AQT,SAFE,GLM,PEPE,BONK,WAVES,MASK,ATH,TOKAMAK,CARV,MEW,MNT,PYTH,SONIC,GAS,AKT,BIGTIME,DRIFT
7,2025-03-01,4.625929269271223e-18,0.25,0.20699180553159044,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.047365977792575724,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.12566932553126617,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.25,4.625929269271223e-18,0.08751893934456005,0.02780428609801077,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.004649665701996893,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18
7,2025-04-01,5.168030355513975e-18,0.25,0.01873081642631225,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,0.01464813709517196,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,0.12825551172830524,5.168030355513975e-18,0.003778742189839214,5.168030355513975e-18,5.168030355513975e-18,0.05859727168420727,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,0.07424782413292705,5.168030355513975e-18,0.021375827674421387,0.0072604976972772016,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,0.04167712853803193,5.168030355513975e-18,0.14193474000011558,0.013056433215746423,5.168030355513975e-18,0.22643706961764462,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18,5.168030355513975e-18
7,2025-05-01,3.903127820947816e-18,0.25,0.03684510958533511,3.903127820947816e-18,3.903127820947816e-18,0.00846951334997276,3.903127820947816e-18,0.016018553573433503,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.011437961515455581,3.903127820947816e-18,0.018944745382360385,0.0034302120705146347,3.903127820947816e-18,0.01695457254077024,3.903127820947816e-18,3.903127820947816e-18,0.02900794717443925,0.0047056964248835265,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.024490050951539385,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.05157225464318407,0.00909541786727987,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.062256932451793735,0.0512023525411051,3.903127820947816e-18,0.1251388808704142,0.015372349658496558,3.903127820947816e-18,0.25,3.903127820947816e-18,3.903127820947816e-18,0.015057449399022121,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18
7,2025-06-01,0.10208088339906267,0.25,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.00040391937663083414,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.02322052369476364,3.903127820947816e-18,0.012665354640968516,3.903127820947816e-18,3.903127820947816e-18,0.0033245585799528896,3.903127820947816e-18,3.903127820947816e-18,0.004768503149526438,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.03518598173020706,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.028185008704692895,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.1893823800557252,0.06295262969580578,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,0.005970529068193083,3.903127820947816e-18,0.13095638400336762,3.903127820947816e-18,3.903127820947816e-18,0.1509033439011034,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18,3.903127820947816e-18
7,2025-07-01,0.02914938108990082,0.25,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.0037464211279477485,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.054251566786466365,3.469446951953614e-18,0.020235137746300497,0.09259739988308827,3.469446951953614e-18,0.014840201620805522,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.07690084793633495,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.042826906819966204,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.1108799726823212,0.04605635562898258,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.06179005925651737,3.469446951953614e-18,3.469446951953614e-18,0.046613939717737155,3.469446951953614e-18,3.469446951953614e-18,0.1501118097036314,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18
7,2025-08-01,3.4694469519532198e-18,0.25,0.16016718494401866,3.4694469519532198e-18,3.4694469519532198e-18,0.004081426359021724,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.05139768537776285,3.4694469519532198e-18,0.05458234195553267,3.4694469519532198e-18,3.4694469519532198e-18,0.04326228787237601,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.006505547822576804,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.07125149545404189,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.02895678123858144,0.058316543298825144,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.025649187356166354,3.4694469519532198e-18,3.4694469519532198e-18,0.03401095874602001,0.006471869406513106,3.4694469519532198e-18,0.20534669016856338,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18
7,2025-09-01,0.015452331228691663,0.25,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,0.02735051913051423,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,0.09481411691629273,6.938893903906834e-18,0.08114661459729454,6.938893903906834e-18,6.938893903906834e-18,0.11319063489281778,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,0.1384130496691118,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,0.06014292053306354,0.050595817528645004,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18,0.04135298793009686,6.938893903906834e-18,6.938893903906834e-18,0.08514271274532342,6.938893903906834e-18,6.938893903906834e-18,0.01922162018871606,6.938893903906834e-18,6.938893903906834e-18,0.023176674639432415,6.938893903906834e-18,6.938893903906834e-18,6.938893903906834e-18
7,2025-10-01,0.14320678568251935,0.25,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,0.03821217767459132,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,0.09419605416772588,1.1564823173176084e-18,0.009907865426077547,1.1564823173176084e-18,1.1564823173176084e-18,0.1480703482834617,1.1564823173176084e-18,1.1564823173176084e-18,0.00630257661348342,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,0.11809539205819164,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,0.06587518508344843,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18,0.044951237896235424,1.1564823173176084e-18,0.0008924216787479289,0.020548929902330638,1.1564823173176084e-18,1.1564823173176084e-18,0.00435056755103692,1.1564823173176084e-18,1.1564823173176084e-18,0.055390457982149824,1.1564823173176084e-18,1.1564823173176084e-18,1.1564823173176084e-18
7,2025-11-01,0.03863795882481627,0.25,0.03260630627977402,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.12130814791914861,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.03228601696085861,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.12995189530145196,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.10809326369468318,0.11956654403310162,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.03652594907693166,5.782411586588042e-19,5.782411586588042e-19,0.12642935465836855,0.004594563250865589,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19
7,2025-12-01,0.037912983793098126,0.25,0.04897797517317792,3.4694469519532198e-18,3.4694469519532198e-18,0.011809656725954581,3.4694469519532198e-18,0.0037718250307461434,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.03691939505649107,3.4694469519532198e-18,0.03188061234350269,3.4694469519532198e-18,3.4694469519532198e-18,0.06734315443504417,3.4694469519532198e-18,3.4694469519532198e-18,0.023245129885574572,0.00338456848049175,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.03040026699192772,0.04110552038639404,3.4694469519532198e-18,3.4694469519532198e-18,0.04960448429884678,0.11241782897032289,3.4694469519532198e-18,0.025747485753964777,3.4694469519532198e-18,3.4694469519532198e-18,0.02817251422187257,3.4694469519532198e-18,3.4694469519532198e-18,0.12874938376435158,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.011423838149209031,0.057133376539029716,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18
