cycle_days,rebalance_date,ticker,weight
7,2025-03-01,XRP,0.0
7,2025-03-01,BTC,0.25
7,2025-03-01,ETH,0.20699180553159047
7,2025-03-01,SOL,0.0
7,2025-03-01,DOGE,0.0
7,2025-03-01,AERGO,0.0
7,2025-03-01,ADA,0.0
7,2025-03-01,AUCTION,0.0
7,2025-03-01,ONDO,0.0
7,2025-03-01,SUI,0.0
7,2025-03-01,VIRTUAL,0.0
7,2025-03-01,ARDR,0.0
7,2025-03-01,MOVE,0.0
7,2025-03-01,AWE,0.047365977792575745
7,2025-03-01,XLM,0.0
7,2025-03-01,AXS,0.0
7,2025-03-01,SNT,0.0
7,2025-03-01,QTUM,0.0
7,2025-03-01,ANIME,0.0
7,2025-03-01,PUNDIX,0.1256693255312662
7,2025-03-01,ARK,0.0
7,2025-03-01,ENS,0.0
7,2025-03-01,LINK,0.0
7,2025-03-01,CRO,0.0
7,2025-03-01,HBAR,0.0
7,2025-03-01,VANA,0.0
7,2025-03-01,SEI,0.0
7,2025-03-01,STRAX,0.0
7,2025-03-01,KNC,0.0
7,2025-03-01,ME,0.0
7,2025-03-01,SHIB,0.0
7,2025-03-01,CBK,0.0
7,2025-03-01,AQT,0.0
7,2025-03-01,SAFE,0.0
7,2025-03-01,GLM,0.0
7,2025-03-01,PEPE,0.0
7,2025-03-01,BONK,0.0
7,2025-03-01,WAVES,0.0
7,2025-03-01,MASK,0.25
7,2025-03-01,ATH,0.0
7,2025-03-01,TOKAMAK,0.08751893934456008
7,2025-03-01,CARV,0.027804286098010795
7,2025-03-01,MEW,0.0
7,2025-03-01,MNT,0.0
7,2025-03-01,PYTH,0.0
7,2025-03-01,SONIC,0.0
7,2025-03-01,GAS,0.004649665701996917
7,2025-03-01,AKT,0.0
7,2025-03-01,BIGTIME,0.0
7,2025-03-01,DRIFT,0.0
7,2025-04-01,XRP,0.0
7,2025-04-01,BTC,0.24999999999999997
7,2025-04-01,ETH,0.018730816426312236
7,2025-04-01,SOL,0.0
7,2025-04-01,DOGE,0.0
7,2025-04-01,AERGO,0.0
7,2025-04-01,ADA,0.0
7,2025-04-01,AUCTION,0.014648137095171945
7,2025-04-01,ONDO,0.0
7,2025-04-01,SUI,0.0
7,2025-04-01,VIRTUAL,0.0
7,2025-04-01,ARDR,0.1282555117283052
7,2025-04-01,MOVE,0.0
7,2025-04-01,AWE,0.0037787421898392
7,2025-04-01,XLM,0.0
7,2025-04-01,AXS,0.0
7,2025-04-01,SNT,0.05859727168420725
7,2025-04-01,QTUM,0.0
7,2025-04-01,ANIME,0.0
7,2025-04-01,PUNDIX,0.0
7,2025-04-01,ARK,0.0
7,2025-04-01,ENS,0.0
7,2025-04-01,LINK,0.0
7,2025-04-01,CRO,0.0
7,2025-04-01,HBAR,0.0
7,2025-04-01,VANA,0.0
7,2025-04-01,SEI,0.0
7,2025-04-01,STRAX,0.0
7,2025-04-01,KNC,0.0
7,2025-04-01,ME,0.0
7,2025-04-01,SHIB,0.0
7,2025-04-01,CBK,0.07424782413292703
7,2025-04-01,AQT,0.0
7,2025-04-01,SAFE,0.021375827674421373
7,2025-04-01,GLM,0.007260497697277188
7,2025-04-01,PEPE,0.0
7,2025-04-01,BONK,0.0
7,2025-04-01,WAVES,0.0
7,2025-04-01,MASK,0.04167712853803192
7,2025-04-01,ATH,0.0
7,2025-04-01,TOKAMAK,0.14193474000011555
7,2025-04-01,CARV,0.01305643321574641
7,2025-04-01,MEW,0.0
7,2025-04-01,MNT,0.2264370696176446
7,2025-04-01,PYTH,0.0
7,2025-04-01,SONIC,0.0
7,2025-04-01,GAS,0.0
7,2025-04-01,AKT,0.0
7,2025-04-01,BIGTIME,0.0
7,2025-04-01,DRIFT,0.0
7,2025-05-01,XRP,0.0
7,2025-05-01,BTC,0.25
7,2025-05-01,ETH,0.03684510958533511
7,2025-05-01,SOL,0.0
7,2025-05-01,DOGE,0.0
