strategy,cycle_days,n_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,information_ratio_vs_btc,turnover_mean,realized_risk_annualized_mean
btc_hodl,,395,-0.1848013816925641,-0.17205226791422923,0.4124484818482557,-0.25166722648960665,-0.47705891273456125,-0.3606520354645596,,,
minimum_variance,7.0,395,-0.3638838856460642,-0.3416487208595784,0.475298015642125,-0.640858610797496,-0.546070199709652,-0.6256498176264418,-0.609111219016757,0.3858368234771094,0.40574774748521003
equal_weight,7.0,395,-0.5767287953294882,-0.5481681974741179,0.6435283199150734,-0.9077154155023421,-0.6549004163322121,-0.8370252694969246,-1.1286982320762593,0.05644856706132999,0.5506947632205148
minimum_variance,14.0,395,-0.3621628898645216,-0.34000301474544725,0.4963118082970443,-0.5895247473444112,-0.5365278776859523,-0.6337098758258044,-0.5321060759595073,0.4846262495607926,0.41748978433733636
equal_weight,14.0,395,-0.5869429018358951,-0.5582527238039204,0.6443608081437635,-0.9407534034915531,-0.6558344778675651,-0.8512097833268386,-1.1769298872307958,0.08043815901657078,0.5510683355244608
