kind,variant,cycle_days,n_windows,n_outperform,outperform_share,best_start,best_end,best_strategy_return,best_btc_return,best_excess_return
calendar_month,cap25,7,13,5,0.38461538461538464,2025-07-01,2025-07-31,0.3303178083112628,0.10637815714658894,0.22393965116467385
calendar_month,cap25,14,13,5,0.38461538461538464,2025-07-01,2025-07-31,0.41174869866636965,0.10637815714658894,0.3053705415197807
calendar_month,uncapped,7,13,4,0.3076923076923077,2025-07-01,2025-07-31,0.1303712613743797,0.10637815714658894,0.023993104227790774
calendar_month,uncapped,14,13,3,0.23076923076923078,2025-07-01,2025-07-31,0.1581167429802195,0.10637815714658894,0.05173858583363056
rolling_14d,cap25,7,382,169,0.4424083769633508,2025-07-08,2025-07-21,0.3347039437402941,0.08076299797434827,0.25394094576594584
rolling_14d,cap25,14,382,157,0.4109947643979058,2025-07-08,2025-07-21,0.3798427296711353,0.08076299797434827,0.29907973169678703
rolling_14d,uncapped,7,382,134,0.3507853403141361,2026-01-31,2026-02-13,-0.11763340410386247,-0.19438916197098532,0.07675575786712285
rolling_14d,uncapped,14,382,125,0.32722513089005234,2026-01-31,2026-02-13,-0.12739780402358103,-0.19438916197098532,0.0669913579474043
rolling_30d,cap25,7,366,141,0.38524590163934425,2025-07-11,2025-08-09,0.32151294077449655,0.02300370512329364,0.2985092356512029
rolling_30d,cap25,14,366,136,0.37158469945355194,2025-06-23,2025-07-22,0.568582195526051,0.15360101071041,0.41498118481564106
rolling_30d,uncapped,7,366,97,0.2650273224043716,2026-01-16,2026-02-14,-0.19987519578647517,-0.2701413728495946,0.07026617706311944
rolling_30d,uncapped,14,366,95,0.25956284153005466,2025-06-23,2025-07-22,0.24890934474244908,0.15360101071041,0.09530833403203909
rolling_60d,cap25,7,336,132,0.39285714285714285,2025-06-28,2025-08-26,0.4585744590865355,0.06614084277004828,0.3924336163164872
rolling_60d,cap25,14,336,133,0.3958333333333333,2025-06-28,2025-08-26,0.6101594589834973,0.06614084277004828,0.544018616213449
rolling_60d,uncapped,7,336,93,0.2767857142857143,2025-12-19,2026-02-16,-0.1345287791754297,-0.1990442731052412,0.06451549392981148
rolling_60d,uncapped,14,336,94,0.27976190476190477,2025-12-19,2026-02-16,-0.13667973846031178,-0.1990442731052412,0.062364534644929415
rolling_7d,cap25,7,389,181,0.4652956298200514,2025-08-03,2025-08-09,0.18945360795379051,0.017433623258387154,0.17201998469540336
rolling_7d,cap25,14,389,171,0.43958868894601544,2025-07-11,2025-07-17,0.2112599295511579,0.03719816021464584,0.17406176933651207
rolling_7d,uncapped,7,389,162,0.41645244215938304,2025-11-06,2025-11-12,0.03738524963262568,-0.017313880591269815,0.0546991302238955
rolling_7d,uncapped,14,389,158,0.40616966580976865,2025-06-27,2025-07-03,0.07362734494318302,0.014134877384197608,0.05949246755898541
rolling_90d,cap25,7,306,114,0.37254901960784315,2025-06-23,2025-09-20,0.5126640206773565,0.1510458439502962,0.3616181767270603
rolling_90d,cap25,14,306,119,0.3888888888888889,2025-06-23,2025-09-20,0.6830316086879706,0.1510458439502962,0.5319857647376744
rolling_90d,uncapped,7,306,36,0.11764705882352941,2025-12-22,2026-03-21,-0.186233083574741,-0.21534126629450412,0.02910818271976312
rolling_90d,uncapped,14,306,67,0.21895424836601307,2025-06-02,2025-08-30,0.05358370908713983,0.017819776800095832,0.035763932287044
