rebalance_policy,month,total_return_7d_ew,total_return_7d_mv,annualized_return_7d_ew,annualized_return_7d_mv,annualized_volatility_7d_ew,annualized_volatility_7d_mv,sharpe_ratio_7d_ew,sharpe_ratio_7d_mv,max_drawdown_7d_ew,max_drawdown_7d_mv,realized_risk_annualized_mean_7d_ew,realized_risk_annualized_mean_7d_mv,ending_top_weight_max_7d_ew,ending_top_weight_max_7d_mv,ending_active_count_mean_7d_ew,ending_active_count_mean_7d_mv,total_return_7d_mv_minus_ew,annualized_volatility_7d_mv_minus_ew,sharpe_ratio_7d_mv_minus_ew,max_drawdown_7d_mv_minus_ew,total_return_14d_ew,total_return_14d_mv,annualized_return_14d_ew,annualized_return_14d_mv,annualized_volatility_14d_ew,annualized_volatility_14d_mv,sharpe_ratio_14d_ew,sharpe_ratio_14d_mv,max_drawdown_14d_ew,max_drawdown_14d_mv,realized_risk_annualized_mean_14d_ew,realized_risk_annualized_mean_14d_mv,ending_top_weight_max_14d_ew,ending_top_weight_max_14d_mv,ending_active_count_mean_14d_ew,ending_active_count_mean_14d_mv,total_return_14d_mv_minus_ew,annualized_volatility_14d_mv_minus_ew,sharpe_ratio_14d_mv_minus_ew,max_drawdown_14d_mv_minus_ew
enter_once_then_drift,2025-03,-0.07187631988901533,-0.03631224232779484,-0.9795413656312596,-0.8546567153342799,1.5875047050294493,1.0397797700902622,-1.7350551536677425,-1.4004338856144691,-0.1816494167376388,-0.11966790559169438,0.9558733727869876,0.658354617796814,0.03421284662116755,0.2739882526402019,50.0,8.0,0.035564077561220486,-0.5477249349391871,0.3346212680532734,0.06198151114594441,-0.12575965717353832,-0.09579283368530966,-0.9699231251273582,-0.9275826139631392,1.2186861419850856,0.7966677791435958,-2.278919467764047,-2.9102866414604733,-0.28524816755448845,-0.19261154393825763,0.8768631630760824,0.5758824691093655,0.043708535094984895,0.2819045135720616,50.0,8.0,0.029966823488228655,-0.42201836284148986,-0.6313671736964261,0.09263662361623082
enter_once_then_drift,2025-04,-0.11079807385188467,-0.11784441254232625,-0.997808533326792,-0.998552659945066,0.7084488949785659,0.5477835231162147,-8.25600522196059,-11.590606254585738,-0.1346935906939435,-0.13532708466093957,0.8297194980276018,0.5587495756601628,0.04024537694484604,0.2776128445445067,50.0,13.0,-0.007046338690441578,-0.1606653718623512,-3.334601032625148,-0.0006334939669960793,0.04827218171232284,-0.07479800960384753,2.4181256067617087,-0.8682535735506108,0.8171897746422562,0.7220619184947624,1.884308379878315,-2.4752164240069328,-0.1346935906939425,-0.13532708466093835,0.7811611290470385,0.632132393535329,0.1147110647312169,0.2776128445445067,50.0,13.0,-0.12307019131617036,-0.09512785614749375,-4.359524803885248,-0.0006334939669958572
enter_once_then_drift,2025-05,-0.06405686047029169,-0.04259563279233969,-0.968314178296402,-0.8966619264107373,0.36673139418088574,0.224514526797772,-9.209557379900762,-9.98125667081131,-0.0868046232083527,-0.056446547163228056,0.470063431880029,0.2959389209551662,0.028961598534969747,0.2660558107003394,50.0,19.0,0.021461227677952,-0.14221686738311373,-0.7716992909105489,0.030358076045124638,0.11799730240679795,0.06549404021630956,17.319756670105136,4.2275064404551985,0.6954576528582945,0.3982016555057183,4.5101585409238085,4.344114300954896,-0.08680462320835258,-0.05644654716322939,0.589294187989206,0.35743358782212314,0.028961598534969747,0.2660558107003394,50.0,19.0,-0.0525032621904884,-0.29725599735257624,-0.1660442399689126,0.030358076045123195
enter_once_then_drift,2025-06,-0.027521804395183702,-0.021101411505584866,-0.7666424118035934,-0.6711200987147867,0.5609537146318977,0.581509230316265,-2.342977616123597,-1.660926515374405,-0.08465231643974447,-0.08724446885909398,0.48697246466033756,0.42784877446728814,0.02983077700054096,0.25303054320714996,50.0,13.0,0.006420392889598836,0.02055551568436731,0.6820511007491918,-0.002592152419349514,-0.08411247805498268,-0.03573254619508415,-0.8988024177611926,-0.6127365821735993,0.5596532347268502,0.47196701194824914,-3.816797414845173,-1.7896864646640023,-0.11484507351213824,-0.08724446885909487,0.48214810549244186,0.3863673973178151,0.03625736528149265,0.25682578355951907,50.0,13.0,0.04837993185989853,-0.08768622277860111,2.0271109501811706,0.02760060465304337
enter_once_then_drift,2025-07,0.03564522499730449,0.07577792489497415,5.2107689332645615,44.0929318757135,0.6321215355834916,0.8876327887848494,3.1597282876280977,4.6737441496469945,-0.022418133680195185,-0.03958652669596252,0.37875414505253197,0.567683651219608,0.03153552753747973,0.25207953490215823,50.0,14.0,0.040132699897669655,0.2555112532013578,1.5140158620188968,-0.017168393015767336,0.23118809997894263,0.27084189235583245,225.4051920927848,516.3860274537004,0.5370014158715051,0.6481593864450489,10.416458572481817,10.011495628875004,-0.022418133680195962,-0.03958652669596119,0.4503258431622649,0.5422405763851472,0.03653425782429873,0.25207953490215823,50.0,14.0,0.03965379237688982,0.11115797057354382,-0.4049629436068134,-0.017168393015765226
enter_once_then_drift,2025-08,0.029292728049530092,0.08573517079261972,3.506239871622247,71.90319256329389,0.682376169467369,0.7694408395775233,2.502019338207676,5.931811029831944,-0.03036912622374044,-0.0150633906101032,0.5232681473267258,0.44177136437223574,0.02729747001310655,0.2657021735958301,50.0,14.0,0.05644244274308963,0.08706467011015429,3.429791691624268,0.015305735613637239,0.03555757656387026,0.13473835455237282,1.4866484303875933,25.990455797211016,0.6410928258585967,0.6010249597968077,1.721030835108329,5.782740331226165,-0.048812932055999014,-0.029166704953708544,0.5231999358533655,0.4365234855478736,0.02846363043679771,0.26670215176585804,50.0,14.0,0.09918077798850256,-0.040067866061789026,4.061709496117836,0.01964622710229047
enter_once_then_drift,2025-09,-0.0014617668067185008,0.0032118402874405927,-0.07343998616212688,0.18199791267315568,0.3631982488103835,0.24035671009881085,-0.05370591344997825,0.798353720590269,-0.019049702716832595,-0.011093005942431011,0.3227859671539349,0.23433929497760334,0.023018762002826175,0.25756347477018665,50.0,13.0,0.0046736070941590935,-0.12284153871157263,0.8520596340402472,0.007956696774401584,0.0981194465080295,0.07815924220812653,10.476056733188653,6.113611719651325,0.36352814397427957,0.21733253824166995,6.9035340379851196,9.1523910606907,-0.019049702716832595,-0.011093005942430345,0.3469125827098466,0.2504012563719625,0.03621559862567471,0.25756347477018665,50.0,13.0,-0.019960204299902973,-0.14619560573260962,2.2488570227055806,0.00795669677440225
enter_once_then_drift,2025-10,0.04116754609284823,0.03846002976975149,7.195497278145261,6.155009756432475,0.524750360803196,0.340839211080521,4.244840954857984,5.934508249930283,-0.03857723255752399,-0.023293927519296265,0.4164431336925395,0.2714583232487714,0.02558481013380744,0.2596688390403254,50.0,13.0,-0.002707516323096737,-0.18391114972267503,1.689667295072299,0.015283305038227724,-0.08331065233699264,-0.018152524166729855,-0.8964670982184452,-0.3797361888839106,1.1038541874696841,0.632768972634593,-1.4974023329807842,-0.4477641383598333,-0.2151395785217981,-0.114745745946365,0.7265880525629554,0.4506134408711836,0.029276191419076544,0.27874490893816867,50.0,13.0,0.06515812817026279,-0.47108521483509114,1.0496381946209508,0.1003938325754331
enter_once_then_drift,2025-11,-0.025131871760474933,-0.044456946879380954,-0.7347800518687473,-0.9066332801271355,1.1826427598543863,0.8208770604481781,-0.6059759573834647,-2.520196936193236,-0.13256120257175996,-0.11930048180028174,0.8403486330144487,0.6094059470220812,0.02710865221829296,0.2656023021457227,50.0,11.0,-0.01932507511890602,-0.3617656994062082,-1.9142209788097715,0.013260720771478218,-0.12376580624279654,-0.09947052516247601,-0.9680826694410372,-0.9348827447048808,0.8660763492632697,0.6531700746878387,-3.552721729378824,-3.8571598255573702,-0.13882772800169796,-0.11930048180028263,0.7590572665991339,0.5595067677713276,0.029835467879607874,0.2656023021457227,50.0,11.0,0.02429528108032053,-0.212906274575431,-0.3044380961785462,0.019527246201415327
enter_once_then_drift,2025-12,-0.058262051206894094,-0.044075363854146454,-0.9562840989465833,-0.9046691624275673,0.7839929513457373,0.6072230083819623,-3.6366996233915745,-3.5947214940089838,-0.06326348615424815,-0.04039799747502271,0.5330054826087861,0.415195686943833,0.022502827967707948,0.2601576321337249,50.0,19.0,0.01418668735274764,-0.17676994296377502,0.04197812938259071,0.022865488679225443,-0.09720537920742589,-0.07360783399619442,-0.9304750294386812,-0.8637630462619473,0.6081859204791625,0.45633646897318236,-4.083119088769467,-4.141892276937205,-0.10199999173472474,-0.0700440766911411,0.4781121927076795,0.3732532494445905,0.02651767564717222,0.2663759824879094,50.0,19.0,0.023597545211231474,-0.15184945150598017,-0.0587731881677378,0.03195591504358364
