month,strategy,rebalance_policy,cycle_days,hold_start,hold_end,hold_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,realized_risk_annualized_mean,ending_top_weight_max,ending_active_count_mean,total_return_pct,annualized_return_pct,annualized_volatility_pct,max_drawdown_pct,realized_risk_annualized_mean_pct,ending_top_weight_max_pct
2025-03,equal_weight,daily_rebalance_to_target,7,2025-03-01,2025-03-07,7,-0.06981138842409707,-0.9770277737080639,1.5606356968662969,-1.7173324970745523,-0.17915646338737568,0.9474904114782412,0.03293872222566351,50.0,-6.981138842409706,-97.70277737080639,156.06356968662968,-17.915646338737567,94.74904114782412,3.293872222566351
2025-03,minimum_variance,daily_rebalance_to_target,7,2025-03-01,2025-03-07,7,-0.03875139267804284,-0.8726480534576684,1.0329355292856945,-1.543240759724071,-0.12156772267972316,0.6590658016177756,0.2623536562303148,8.0,-3.875139267804284,-87.26480534576683,103.29355292856945,-12.156772267972315,65.90658016177755,26.23536562303148
2025-04,equal_weight,daily_rebalance_to_target,7,2025-04-01,2025-04-07,7,-0.11168404250432462,-0.9979195340640058,0.6981857482684442,-8.45978890982316,-0.13402379820920995,0.8268107006610499,0.03803229503346999,50.0,-11.168404250432463,-99.79195340640058,69.81857482684441,-13.402379820920995,82.681070066105,3.803229503346999
2025-04,minimum_variance,daily_rebalance_to_target,7,2025-04-01,2025-04-07,7,-0.12113788804802672,-0.9988091219881142,0.5461546919295965,-11.977008418106855,-0.13764505140068195,0.5673405842641379,0.25922004413699584,13.0,-12.113788804802672,-99.88091219881142,54.61546919295965,-13.764505140068195,56.73405842641379,25.922004413699582
2025-05,equal_weight,daily_rebalance_to_target,7,2025-05-01,2025-05-07,7,-0.061120903957313955,-0.9626930350291096,0.360942657586478,-8.914000241313838,-0.083260006189532,0.47064189152650365,0.027548977107981716,50.0,-6.1120903957313955,-96.26930350291096,36.0942657586478,-8.3260006189532,47.064189152650364,2.7548977107981716
2025-05,minimum_variance,daily_rebalance_to_target,7,2025-05-01,2025-05-07,7,-0.04031748637355381,-0.8830282357192455,0.22378636337102845,-9.463953409709166,-0.05547685619807785,0.29472813071748816,0.26084214284052476,19.0,-4.031748637355381,-88.30282357192455,22.378636337102844,-5.547685619807785,29.472813071748817,26.084214284052475
2025-06,equal_weight,daily_rebalance_to_target,7,2025-06-01,2025-06-07,7,-0.023925774573145264,-0.7171178930216875,0.5701529514533621,-1.9607218224391372,-0.08584916563478284,0.48197343559730743,0.02592482841863512,50.0,-2.3925774573145264,-71.71178930216875,57.01529514533621,-8.584916563478284,48.19734355973074,2.592482841863512
2025-06,minimum_variance,daily_rebalance_to_target,7,2025-06-01,2025-06-07,7,-0.01529650866963661,-0.552360417268434,0.5838247617816529,-1.1260753224164637,-0.08428202602586632,0.42376787851326575,0.25513450661769593,13.0,-1.529650866963661,-55.236041726843396,58.38247617816529,-8.428202602586632,42.376787851326576,25.513450661769593
2025-07,equal_weight,daily_rebalance_to_target,7,2025-07-01,2025-07-07,7,0.03554717095469262,5.180181458678349,0.6230034779006965,3.1904254513647925,-0.02116020112099115,0.374390276029619,0.02947353481822649,50.0,3.554717095469262,518.0181458678348,62.30034779006965,-2.116020112099115,37.4390276029619,2.947353481822649
2025-07,minimum_variance,daily_rebalance_to_target,7,2025-07-01,2025-07-07,7,0.08045533461889165,55.53996248324784,0.8375374609733854,5.1840623681862885,-0.028637592617760554,0.49655346403266165,0.2543034060289853,14.0,8.045533461889164,5553.996248324784,83.75374609733855,-2.8637592617760554,49.655346403266165,25.430340602898532
2025-08,equal_weight,daily_rebalance_to_target,7,2025-08-01,2025-08-07,7,0.029452253736326428,3.542801295043123,0.6817762383643585,2.5156504382092186,-0.030369740162539904,0.5232572645251705,0.022934617989028395,50.0,2.945225373632643,354.2801295043123,68.17762383643586,-3.0369740162539904,52.32572645251705,2.2934617989028396
