cycle_days,rebalance_date,ticker,weight
7,2026-01-01,BTC,0.25
7,2026-01-01,TOKAMAK,0.16391955008744796
7,2026-01-01,ARDR,0.09621251582192208
7,2026-01-01,KNC,0.08680602784689981
7,2026-01-01,AQT,0.06357538414099398
7,2026-01-01,XRP,0.06320514355958773
7,2026-01-01,SNT,0.055758882436057734
7,2026-01-01,GLM,0.041155107658103575
7,2026-01-01,CBK,0.04106334903725687
7,2026-01-01,PUNDIX,0.02904106000795944
7,2026-01-01,AWE,0.023828570398968685
7,2026-01-01,CRO,0.018369216414469626
7,2026-01-01,WAVES,0.015847173454751614
7,2026-01-01,STRAX,0.013884621034011824
7,2026-01-01,CARV,0.011674585311609071
7,2026-01-01,AUCTION,0.007679055392903287
7,2026-01-01,VANA,0.007166642396030369
7,2026-01-01,GAS,0.004103905245208187
7,2026-01-01,AERGO,0.003877410765782674
7,2026-01-01,MNT,0.0028317989900354893
14,2026-01-01,BTC,0.25
14,2026-01-01,TOKAMAK,0.16391955008744796
14,2026-01-01,ARDR,0.09621251582192208
14,2026-01-01,KNC,0.08680602784689981
14,2026-01-01,AQT,0.06357538414099398
14,2026-01-01,XRP,0.06320514355958773
14,2026-01-01,SNT,0.055758882436057734
14,2026-01-01,GLM,0.041155107658103575
14,2026-01-01,CBK,0.04106334903725687
14,2026-01-01,PUNDIX,0.02904106000795944
14,2026-01-01,AWE,0.023828570398968685
14,2026-01-01,CRO,0.018369216414469626
14,2026-01-01,WAVES,0.015847173454751614
14,2026-01-01,STRAX,0.013884621034011824
14,2026-01-01,CARV,0.011674585311609071
14,2026-01-01,AUCTION,0.007679055392903287
14,2026-01-01,VANA,0.007166642396030369
14,2026-01-01,GAS,0.004103905245208187
14,2026-01-01,AERGO,0.003877410765782674
14,2026-01-01,MNT,0.0028317989900354893
