strategy,mode,rebalance_policy,cycle_days,n_months,invested_days,first_hold_date,last_hold_date,total_return_on_hold_windows,mean_monthly_hold_return,median_monthly_hold_return,positive_month_rate,annualized_return_on_invested_days,annualized_volatility_on_invested_days,sharpe_on_invested_days,max_drawdown_on_hold_windows,realized_risk_annualized_mean,ending_top_weight_max,ending_active_count_mean
equal_weight,Managed Mode,daily_rebalance_to_target,7,13,91,2025-03-01,2026-03-07,-0.22119758789289112,-0.016693065713789923,-0.023925774573145264,0.3076923076923077,-0.633126751632173,0.8139465525084365,-0.8192717199893259,-0.36164010739083163,0.6052773460667723,0.03803229503346999,50.0
minimum_variance,Managed Mode,daily_rebalance_to_target,7,13,91,2025-03-01,2026-03-07,-0.07474631244947749,-0.004047370184780843,-0.01529650866963661,0.46153846153846156,-0.2677278143950891,0.6857437028971017,-0.11371885267610987,-0.2844375497080265,0.4770386071015803,0.2627344322548508,14.0
equal_weight,Simple Mode,enter_once_then_drift,7,13,91,2025-03-01,2026-03-07,-0.23015751466331702,-0.01754305594151636,-0.027521804395183702,0.3076923076923077,-0.6497653031127424,0.8186126757455694,-0.866201144899057,-0.3693659920761786,0.6077604835396885,0.04024537694484604,50.0
minimum_variance,Simple Mode,enter_once_then_drift,7,13,91,2025-03-01,2026-03-07,-0.07477972101151786,-0.004079972124426867,-0.021101411505584866,0.46153846153846156,-0.2678338611445298,0.6934521238609359,-0.10587179637474557,-0.285373590730719,0.48393517659907903,0.2776128445445067,14.0
equal_weight,Managed Mode,daily_rebalance_to_target,14,13,182,2025-03-01,2026-03-14,0.08539148322414314,0.012615690491482,-0.0019507840908690177,0.46153846153846156,0.1786051885557518,0.7634555942536199,0.6029404179340399,-0.35195078044168904,0.594720610904542,0.03803229503346999,50.0
minimum_variance,Managed Mode,daily_rebalance_to_target,14,13,182,2025-03-01,2026-03-14,0.31097208964046685,0.02618539221124277,-0.012334680648082408,0.46153846153846156,0.7212066260935706,0.5988965084967915,1.2056204450221135,-0.2958749560046189,0.45929391527304486,0.26847509002488024,14.0
equal_weight,Simple Mode,enter_once_then_drift,14,13,182,2025-03-01,2026-03-14,0.11269211039415561,0.014510351814694579,0.010752687391686777,0.5384615384615384,0.23881034983042015,0.7631125063368733,0.6684945271676193,-0.35678893327330186,0.5984268551251046,0.1147110647312169,50.0
minimum_variance,Simple Mode,enter_once_then_drift,14,13,182,2025-03-01,2026-03-14,0.29511289712363165,0.02522961670640759,-0.000907357998928271,0.46153846153846156,0.6797023559074913,0.5977737157798313,1.1658970293745408,-0.290579001458635,0.4678516818304513,0.2819045135720616,14.0
