month,minimum_variance_return_7d,minimum_variance_return_14d,equal_weight_return_7d,equal_weight_return_14d,mv_minus_ew_7d,mv_minus_ew_14d,minimum_variance_return_7d_pct,minimum_variance_return_14d_pct,equal_weight_return_7d_pct,equal_weight_return_14d_pct,mv_minus_ew_7d_pct,mv_minus_ew_14d_pct
2025-03,-0.03631224232779462,-0.09579283368530978,-0.07187631988901533,-0.12575965717353832,0.03556407756122071,0.029966823488228544,-3.631224232779462,-9.579283368530977,-7.187631988901533,-12.575965717353832,3.556407756122071,2.9966823488228544
2025-04,-0.1178444125423257,-0.0747980096038463,-0.11079807385188467,0.04827218171232284,-0.007046338690441023,-0.12307019131616914,-11.784441254232568,-7.4798009603846305,-11.079807385188467,4.827218171232284,-0.7046338690441023,-12.307019131616915
2025-05,-0.04259563279233991,0.06549404021630978,-0.06405686047029169,0.11799730240679795,0.021461227677951777,-0.052503262190488176,-4.259563279233991,6.549404021630978,-6.405686047029169,11.799730240679796,2.1461227677951777,-5.250326219048818
2025-06,-0.021105002454007815,-0.035750813533854564,-0.027521804395183702,-0.08411247805498268,0.006416801941175887,0.04836166452112811,-2.1105002454007815,-3.5750813533854564,-2.75218043951837,-8.411247805498267,0.6416801941175887,4.836166452112812
2025-07,0.07577792489497304,0.270841892355832,0.03564522499730449,0.23118809997894263,0.040132699897668545,0.039653792376889374,7.577792489497304,27.0841892355832,3.564522499730449,23.118809997894264,4.0132699897668545,3.9653792376889374
2025-08,0.08573517079261728,0.1347383545523777,0.029292728049530092,0.03555757656387026,0.056442442743087184,0.09918077798850744,8.573517079261727,13.47383545523777,2.9292728049530092,3.5557576563870263,5.6442442743087184,9.918077798850744
2025-09,0.003211840287442369,0.07815924220812298,-0.0014617668067185008,0.0981194465080295,0.00467360709416087,-0.019960204299906525,0.3211840287442369,7.815924220812298,-0.14617668067185008,9.81194465080295,0.467360709416087,-1.9960204299906525
2025-10,0.038562406341516864,-0.01816973975475389,0.04116754609284823,-0.08331065233699264,-0.0026051397513313646,0.06514091258223875,3.8562406341516864,-1.8169739754753889,4.116754609284823,-8.331065233699263,-0.26051397513313646,6.514091258223875
2025-11,-0.04445694687938162,-0.09947052516247712,-0.025131871760474933,-0.12376580624279654,-0.019325075118906687,0.02429528108031942,-4.445694687938162,-9.947052516247712,-2.5131871760474933,-12.376580624279654,-1.9325075118906687,2.429528108031942
2025-12,-0.04407536385414623,-0.07360783399619752,-0.058262051206894094,-0.09720537920742589,0.014186687352747862,0.023597545211228366,-4.407536385414623,-7.360783399619752,-5.826205120689409,-9.72053792074259,1.4186687352747862,2.3597545211228366
2026-01,0.09852209656940003,0.1172160638358184,0.15887043454235927,0.1895047604052893,-0.06034833797295924,-0.0722886965694709,9.852209656940003,11.72160638358184,15.887043454235927,18.95047604052893,-6.034833797295924,-7.22886965694709
2026-02,-0.057945847448656385,-0.0009073579989303804,-0.10378962295916339,-0.02860350836017367,0.045843775510507,0.027696150361243288,-5.794584744865638,-0.09073579989303804,-10.378962295916338,-2.860350836017367,4.5843775510507,2.769615036124329
2026-03,0.009585157418491752,0.059997054823409446,-0.030137289582128468,0.010752687391686777,0.03972244700062022,0.04924436743172267,0.9585157418491752,5.999705482340945,-3.013728958212847,1.0752687391686777,3.972244700062022,4.924436743172267
